lot,wafer_slot,layer,tool_id,measured_at,field_x,field_y,die_x,die_y,overlay_x_nm,overlay_y_nm
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-3,0,0,-0.247,1.467
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-3,1,0,0.287,0.401
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-3,0,1,0.999,4.215
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-3,1,1,1.744,-1.302
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-2,0,0,-0.303,-3.836
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-2,1,0,-1.543,0.075
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-2,0,1,-0.006,3.925
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-2,1,1,-2.394,2.088
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-1,0,0,1.008,0.303
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-1,1,0,0.355,-1.735
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-1,0,1,1.068,-0.249
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,-1,1,1,-0.144,-1.559
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,0,0,0,-0.808,-3.905
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,0,1,0,2.283,0.651
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,0,0,1,1.384,0.134
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,0,1,1,4.380,0.876
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,1,0,0,5.304,-2.920
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,1,1,0,0.034,2.894
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,1,0,1,2.320,-0.468
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,1,1,1,-1.325,-0.388
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,2,0,0,1.725,-1.855
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,2,1,0,4.018,0.088
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,2,0,1,0.171,-1.272
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,2,1,1,-2.970,-0.448
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,3,0,0,0.887,-2.943
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,3,1,0,0.020,2.706
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,3,0,1,0.188,0.811
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-3,3,1,1,1.526,-0.229
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-3,0,0,1.098,-0.003
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-3,1,0,-0.315,0.540
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-3,0,1,1.061,-3.616
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-3,1,1,1.200,0.427
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-2,0,0,1.671,-0.191
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-2,1,0,2.753,-0.791
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-2,0,1,-0.582,-2.578
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-2,1,1,0.228,2.115
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-1,0,0,-0.107,1.834
LOT09151123,1,VIA1,ARCHER-01,2026-09-15 10:56:39,-2,-1,1,0,0.814,-1.533
