lot,wafer_slot,layer,tool_id,measured_at,field_x,field_y,die_x,die_y,overlay_x_nm,overlay_y_nm
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-3,0,0,3.299,0.511
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-3,1,0,-0.296,1.277
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-3,0,1,-0.129,2.372
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-3,1,1,1.751,1.860
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-2,0,0,3.589,-1.128
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-2,1,0,2.964,3.028
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-2,0,1,1.472,-3.737
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-2,1,1,-1.023,-1.214
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-1,0,0,-0.134,0.332
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-1,1,0,2.199,3.175
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-1,0,1,-2.918,-2.031
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,-1,1,1,-0.546,-1.827
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,0,0,0,4.055,-1.823
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,0,1,0,2.080,1.050
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,0,0,1,-1.507,0.416
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,0,1,1,-1.308,2.371
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,1,0,0,0.217,-1.295
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,1,1,0,0.298,3.135
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,1,0,1,-0.879,-2.516
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,1,1,1,-1.264,0.404
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,2,0,0,-1.401,-0.001
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,2,1,0,0.892,-0.393
LOT09151129,3,VIA1,ARCHER-01,2026-09-15 11:08:23,-3,2,0,1,-0.422,-2.242
