lot,wafer_slot,layer,tool_id,measured_at,field_x,field_y,die_x,die_y,overlay_x_nm,overlay_y_nm
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-3,0,0,1.044,2.087
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-3,1,0,0.601,-1.033
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-3,0,1,2.781,-1.822
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-3,1,1,-1.146,-1.849
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-2,0,0,-3.123,0.624
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-2,1,0,-2.921,-1.942
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-2,0,1,0.474,-2.084
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-2,1,1,0.025,-2.084
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-1,0,0,-0.894,2.910
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-1,1,0,0.063,-0.221
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-1,0,1,-0.831,-4.010
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,-1,1,1,-1.571,4.064
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,0,0,0,1.591,-0.871
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,0,1,0,1.909,-0.960
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,0,0,1,-0.383,0.895
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,0,1,1,-1.747,-0.179
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,1,0,0,2.043,-0.345
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,1,1,0,3.741,-1.235
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,1,0,1,-1.185,1.071
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,1,1,1,1.245,-2.302
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,2,0,0,0.328,-1.057
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,2,1,0,1.422,-0.480
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,2,0,1,2.330,-0.684
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,2,1,1,0.588,-0.529
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,3,0,0,0.282,-0.127
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,3,1,0,1.902,-2.322
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,3,0,1,1.672,-1.109
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-3,3,1,1,-0.824,-0.312
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-3,0,0,1.377,-1.572
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-3,1,0,-2.597,0.609
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-3,0,1,-3.214,0.992
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-3,1,1,-0.468,-1.795
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-2,0,0,1.924,-0.079
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-2,1,0,-0.097,-0.120
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-2,0,1,-1.484,2.389
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-2,1,1,-2.134,0.809
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-1,0,0,0.719,-2.024
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-1,1,0,-2.486,0.301
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-1,0,1,-0.215,-0.003
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,-1,1,1,2.759,-1.402
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,0,0,0,0.512,0.758
LOT09151129,2,VIA1,ARCHER-01,2026-09-15 11:05:23,-2,0,1,0,2.897,-0.210
